epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,19652.9,0.95714,1.95265,1.45535,0.5764,0.52442,0.55791,0.42248,0.81411,1.39501,1.43664,0.0071785,0.0071785,0.0071785
59,19989,0.95611,1.93837,1.45407,0.57281,0.53151,0.56142,0.42458,0.81473,1.38712,1.43615,0.007129,0.007129,0.007129
60,20326,0.96202,1.93422,1.4539,0.56108,0.53865,0.56186,0.42563,0.81433,1.38624,1.43475,0.0070795,0.0070795,0.0070795
61,20662.5,0.94891,1.92707,1.44419,0.54754,0.55867,0.5664,0.42939,0.81024,1.38148,1.43226,0.00703,0.00703,0.00703
62,21005.4,0.94937,1.9235,1.4443,0.56066,0.54912,0.565,0.42827,0.80881,1.37588,1.43022,0.0069805,0.0069805,0.0069805
63,21342,0.94922,1.92329,1.44611,0.56135,0.54664,0.56734,0.42955,0.80835,1.37164,1.42972,0.006931,0.006931,0.006931
64,21680.6,0.95304,1.92014,1.45232,0.57101,0.5406,0.56933,0.42986,0.80925,1.36777,1.42989,0.0068815,0.0068815,0.0068815
65,22018.5,0.95383,1.92175,1.44578,0.5492,0.55325,0.56882,0.43116,0.80988,1.3664,1.4297,0.006832,0.006832,0.006832
66,22358.4,0.95007,1.92903,1.44586,0.55299,0.55874,0.56808,0.42961,0.8107,1.36591,1.43022,0.0067825,0.0067825,0.0067825
67,22696.9,0.94546,1.91119,1.44831,0.55417,0.55892,0.57253,0.43401,0.80955,1.36316,1.4299,0.006733,0.006733,0.006733
68,23036.6,0.94365,1.90939,1.44305,0.58151,0.53711,0.57183,0.43473,0.8094,1.36343,1.42876,0.0066835,0.0066835,0.0066835
69,23409.6,0.93745,1.88197,1.4387,0.5144,0.57999,0.57248,0.43364,0.80986,1.36134,1.42827,0.006634,0.006634,0.006634
70,23750.5,0.93657,1.88675,1.43927,0.52163,0.58076,0.57512,0.43604,0.81063,1.35781,1.42883,0.0065845,0.0065845,0.0065845
71,24094.7,0.94815,1.88203,1.44227,0.52244,0.57985,0.57414,0.43625,0.81094,1.35835,1.42884,0.006535,0.006535,0.006535
72,24432,0.93922,1.87381,1.43763,0.52549,0.58673,0.57642,0.43717,0.81006,1.35699,1.42707,0.0064855,0.0064855,0.0064855
73,24770.6,0.9374,1.87004,1.43734,0.52568,0.5842,0.57731,0.43755,0.80907,1.35769,1.42587,0.006436,0.006436,0.006436
74,25108.6,0.93882,1.86325,1.44016,0.52311,0.59926,0.57943,0.43853,0.80973,1.35383,1.42696,0.0063865,0.0063865,0.0063865
75,25450.4,0.93928,1.87047,1.44256,0.52048,0.60504,0.58188,0.44107,0.81022,1.35306,1.42703,0.006337,0.006337,0.006337
76,25791,0.93869,1.87449,1.43633,0.51784,0.60753,0.58172,0.44077,0.809,1.35155,1.42597,0.0062875,0.0062875,0.0062875
77,26133.2,0.93557,1.85562,1.4314,0.52099,0.60326,0.58453,0.44273,0.80688,1.34732,1.42357,0.006238,0.006238,0.006238
78,26473.1,0.937,1.85266,1.4406,0.52418,0.59925,0.58226,0.44275,0.80684,1.34525,1.42334,0.0061885,0.0061885,0.0061885
79,26814.6,0.9247,1.84102,1.42758,0.5275,0.59796,0.58366,0.44418,0.80668,1.34329,1.42269,0.006139,0.006139,0.006139
80,27155.4,0.92991,1.84638,1.43163,0.5264,0.59846,0.58472,0.44411,0.80769,1.34194,1.42344,0.0060895,0.0060895,0.0060895
81,27495.9,0.92958,1.84573,1.42776,0.53131,0.59302,0.58707,0.44537,0.80789,1.34105,1.42337,0.00604,0.00604,0.00604
82,27835,0.92696,1.83496,1.42564,0.52741,0.58948,0.58634,0.44606,0.80707,1.33992,1.42223,0.0059905,0.0059905,0.0059905
83,28169.7,0.93062,1.84827,1.43387,0.51841,0.59549,0.58795,0.44624,0.80699,1.34045,1.42199,0.005941,0.005941,0.005941
84,28504.4,0.92431,1.83763,1.42708,0.51972,0.59431,0.58917,0.44688,0.80741,1.33879,1.42236,0.0058915,0.0058915,0.0058915
85,28840.9,0.92502,1.83739,1.42686,0.51861,0.59326,0.58963,0.44727,0.80796,1.33911,1.42248,0.005842,0.005842,0.005842
86,29177.7,0.91899,1.8263,1.42404,0.51781,0.59288,0.59026,0.44787,0.80779,1.3386,1.42241,0.0057925,0.0057925,0.0057925
87,29514.2,0.91836,1.81601,1.42295,0.52168,0.59563,0.59019,0.44835,0.80694,1.33678,1.42164,0.005743,0.005743,0.005743
88,29853.8,0.92243,1.83572,1.42581,0.52869,0.59697,0.59115,0.449,0.80826,1.33653,1.42296,0.0056935,0.0056935,0.0056935
89,30198.1,0.92595,1.82489,1.4245,0.527,0.60405,0.59259,0.45115,0.80813,1.33653,1.42278,0.005644,0.005644,0.005644
90,30537.3,0.91266,1.79149,1.41462,0.52677,0.60102,0.59457,0.45336,0.80738,1.33541,1.42178,0.0055945,0.0055945,0.0055945
91,30880.6,0.91297,1.79487,1.41391,0.52806,0.60478,0.59472,0.45437,0.80703,1.33505,1.42127,0.005545,0.005545,0.005545
92,31222.8,0.91653,1.81366,1.41505,0.52689,0.601,0.59426,0.45345,0.80637,1.33416,1.42086,0.0054955,0.0054955,0.0054955
93,31562.5,0.90434,1.785,1.41395,0.53153,0.60996,0.59462,0.45379,0.8074,1.33463,1.42165,0.005446,0.005446,0.005446
94,31903.4,0.90742,1.78395,1.41478,0.53135,0.61459,0.59563,0.45514,0.80683,1.33349,1.42086,0.0053965,0.0053965,0.0053965
95,32244.2,0.91336,1.79244,1.41587,0.53537,0.60832,0.59635,0.45544,0.80649,1.33417,1.42063,0.005347,0.005347,0.005347
96,32581.5,0.90217,1.76867,1.40725,0.53682,0.60714,0.59648,0.45555,0.80624,1.33529,1.4201,0.0052975,0.0052975,0.0052975
97,32923.7,0.90667,1.76967,1.41092,0.5382,0.60708,0.59672,0.45558,0.80651,1.33524,1.42042,0.005248,0.005248,0.005248
98,33264.1,0.89772,1.77024,1.41091,0.53797,0.6088,0.59819,0.457,0.80609,1.3352,1.41987,0.0051985,0.0051985,0.0051985
99,33605.3,0.89558,1.7704,1.40563,0.54132,0.60856,0.60009,0.45761,0.80535,1.33346,1.41913,0.005149,0.005149,0.005149
100,33941.7,0.8923,1.78482,1.40316,0.54205,0.60795,0.60015,0.45659,0.8053,1.33301,1.4186,0.0050995,0.0050995,0.0050995
101,34279.7,0.90233,1.76732,1.40935,0.54369,0.60427,0.5998,0.4569,0.80571,1.33376,1.41874,0.00505,0.00505,0.00505
102,34616,0.9064,1.76462,1.40968,0.5493,0.6022,0.6008,0.45711,0.80523,1.33344,1.41798,0.0050005,0.0050005,0.0050005
103,34953.8,0.89911,1.76523,1.40426,0.54926,0.59959,0.60075,0.45738,0.80496,1.33247,1.41726,0.004951,0.004951,0.004951
104,35291.2,0.8975,1.73962,1.40442,0.55207,0.59973,0.60159,0.45859,0.80539,1.33173,1.41735,0.0049015,0.0049015,0.0049015
105,35628.6,0.89971,1.74087,1.40755,0.55486,0.6002,0.60198,0.4601,0.80467,1.32957,1.41612,0.004852,0.004852,0.004852
106,35966.7,0.89401,1.74833,1.4011,0.55195,0.59688,0.60208,0.46044,0.80419,1.3303,1.41514,0.0048025,0.0048025,0.0048025
107,36304.8,0.89293,1.7408,1.39587,0.54959,0.59851,0.60201,0.46093,0.80406,1.33066,1.41465,0.004753,0.004753,0.004753
108,36646.8,0.89769,1.74499,1.40341,0.54272,0.61126,0.60113,0.46097,0.80319,1.33118,1.41353,0.0047035,0.0047035,0.0047035
109,36995,0.87771,1.72098,1.39459,0.53881,0.61194,0.60225,0.46265,0.80234,1.33051,1.41239,0.004654,0.004654,0.004654
110,37340.6,0.89166,1.7369,1.39718,0.5419,0.61066,0.60287,0.4635,0.802,1.33012,1.41163,0.0046045,0.0046045,0.0046045
111,37689.4,0.88108,1.71729,1.39591,0.54327,0.61174,0.60351,0.46358,0.80168,1.33026,1.411,0.004555,0.004555,0.004555
112,38035.9,0.88456,1.71345,1.39453,0.5388,0.60987,0.60469,0.46447,0.80104,1.33063,1.40981,0.0045055,0.0045055,0.0045055
113,38380.7,0.88565,1.71468,1.3953,0.53875,0.60766,0.6066,0.46654,0.80087,1.3295,1.40922,0.004456,0.004456,0.004456
114,38727.3,0.89116,1.71312,1.39473,0.53786,0.60909,0.60708,0.4671,0.80055,1.3297,1.40864,0.0044065,0.0044065,0.0044065
115,39072.2,0.87961,1.69866,1.39081,0.53768,0.60935,0.60714,0.46713,0.80051,1.3293,1.40874,0.004357,0.004357,0.004357
116,39410.7,0.8852,1.69526,1.39359,0.53717,0.60921,0.60873,0.46808,0.80128,1.32822,1.40914,0.0043075,0.0043075,0.0043075
117,39750.4,0.87746,1.67908,1.3912,0.54083,0.60686,0.60854,0.46804,0.80122,1.32842,1.40872,0.004258,0.004258,0.004258
118,40088.8,0.87346,1.69634,1.38453,0.53986,0.61226,0.6083,0.46726,0.80046,1.32877,1.40774,0.0042085,0.0042085,0.0042085
119,40429.6,0.88018,1.69828,1.39254,0.54212,0.60943,0.60848,0.46789,0.80025,1.32898,1.40721,0.004159,0.004159,0.004159
120,40767.6,0.8737,1.69152,1.3856,0.54034,0.60548,0.60987,0.46926,0.79996,1.32904,1.40671,0.0041095,0.0041095,0.0041095
121,41107.5,0.87837,1.68091,1.38925,0.54041,0.60558,0.6098,0.46852,0.80088,1.32934,1.40692,0.00406,0.00406,0.00406
122,41449.5,0.8705,1.68177,1.38329,0.53941,0.6109,0.60994,0.46954,0.80027,1.3297,1.40575,0.0040105,0.0040105,0.0040105
123,41794.9,0.87187,1.66687,1.38303,0.54293,0.61096,0.60983,0.46973,0.79978,1.32954,1.40537,0.003961,0.003961,0.003961
124,42142.4,0.87768,1.66992,1.38366,0.54447,0.61404,0.61194,0.4707,0.79858,1.32887,1.40421,0.0039115,0.0039115,0.0039115
125,42488.8,0.87857,1.65908,1.38723,0.54561,0.61068,0.6129,0.47152,0.79893,1.3287,1.40444,0.003862,0.003862,0.003862
126,42833.6,0.86392,1.64522,1.37842,0.54547,0.61079,0.61314,0.47143,0.79813,1.3283,1.40329,0.0038125,0.0038125,0.0038125
127,43179,0.86346,1.66168,1.38059,0.54581,0.60949,0.61354,0.47293,0.79834,1.32893,1.40336,0.003763,0.003763,0.003763
128,43519.3,0.86866,1.66136,1.38304,0.54705,0.60853,0.61386,0.47299,0.79833,1.32862,1.40375,0.0037135,0.0037135,0.0037135
129,43860.9,0.86465,1.64874,1.37796,0.55211,0.60456,0.61333,0.47335,0.7976,1.32915,1.40226,0.003664,0.003664,0.003664
130,44201.2,0.86058,1.65166,1.37653,0.57246,0.59409,0.61458,0.475,0.79704,1.32694,1.40201,0.0036145,0.0036145,0.0036145
131,44540.6,0.85648,1.63618,1.3712,0.56922,0.59696,0.61449,0.47604,0.79561,1.32685,1.40074,0.003565,0.003565,0.003565
